"n","K","mu_x","sigma_x_sq","icc_x","beta_1","beta_2","beta_3","beta_4","bar_W","sigma_gamma_sq","cond_icc","p.val","sd.model","sd.model.approx","sigma.gamma.sq.model","sd.ss","beta4.ss","power.ss","R","time"
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.546865815906767,0.147255532904307,0.141255979915549,0.0827915602908626,0.161092441653379,2.21575122767999,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00897059579047317,0.186554534855892,0.182154058001516,0.193666427799086,0.170572496305552,2.09260451183198,83.4311239168178,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.902523848689381,0.154096656005392,0.153406364229738,0.0481412221917403,0.160675367354734,2.2215027806683,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0356583745010634,0.156834612104009,0.156834662086881,0,0.172112661706455,2.07387865497205,82.7699188280202,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.799996481311651,0.146105720199366,0.145218920827355,0.0813560704760698,0.161809316128892,2.20593463901123,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00272294824929754,0.153541077165879,0.153541303049892,4e-14,0.17149915149067,2.08129761728215,83.0338680306751,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.0461419459692114,0.147695948553334,0.147560702405414,0.00940493801209876,0.16100080743534,2.21701233086545,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.177435395730669,0.183157660592512,0.181352925227693,0.158341492511568,0.171667679758496,2.07925438187077,82.9614346351514,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.99901969923503,0.159585138163296,0.158353538943496,0.111583859801323,0.160791502555682,2.21989825140066,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,1.98022383867856e-05,0.158533733720139,0.158533608326994,0,0.170716569570776,2.0908384948273,83.3694762492041,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.352548268169274,0.155074949324988,0.153751879172132,0.172305501766058,0.161427225194491,2.21115598644152,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.563737341261942,0.185604107342825,0.184470571858166,0.0935495141568932,0.170945752805655,2.08803535335119,83.2713211689174,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.368804165253345,0.177004994277884,0.175653712740629,0.108166785079283,0.161219518427054,2.21400472378253,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000661385758616327,0.154951154246522,0.149870062238649,0.0595983213092657,0.17090659223706,2.08851379394622,83.2881006652479,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.752855704201467,0.182783730350121,0.179638237768742,0.190979909666944,0.161536142234249,2.20966509677958,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00600095159966342,0.161255660894876,0.160738803967059,0.0524384896514501,0.17053391002231,2.09307800024491,83.4476271782839,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.686686111560344,0.162735778959274,0.159613850326452,0.0690456615954413,0.160341526485179,2.226128085393,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.081500710050336,0.148051428017674,0.147587207662515,0.0153281970488006,0.170470720031084,2.09385386122823,83.4746465300699,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.840296507689433,0.147057796722995,0.146841866824917,0.0124118705306225,0.161179165732528,2.21455902033749,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0489390645685223,0.145342198446517,0.145342308753185,0,0.170692077655566,2.09113850077858,83.3799592108224,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.460290372768407,0.151565748894782,0.150099768263123,0.0414566081422077,0.161593038272089,2.2088870856084,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000316366009748889,0.177532537243809,0.175645005406858,0.0595711700101753,0.170495648409105,2.09354771628517,83.4639884462489,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.554873889574496,0.155466482602389,0.154802388574115,0.0236336465841356,0.161204983837924,2.21420434322497,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00703690589060549,0.179928926039658,0.179067340202071,0.1661084549076,0.171097277692993,2.08618617535175,83.206366192757,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.771866440240869,0.160621472057326,0.158040748531574,0.102355363701828,0.160789578052585,2.21992482153729,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,4.51216895105562e-06,0.162213469226928,0.161758451518542,0.0599519882606868,0.170294801630332,2.09601685985854,83.5498221415775,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.528944011755263,0.17025470598763,0.168198695246133,0.125455489302853,0.160870919110988,2.21880236239082,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,3.11753008959783e-06,0.170934430641652,0.170934466480736,0,0.171355819779583,2.08303853246758,83.0954279992454,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.084993414010322,0.164927043183423,0.164372732253616,0.026144917213385,0.160193242310463,2.22818871892032,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.000122540507249713,0.17795745612062,0.176646236670926,0.144637067577994,0.171273503200797,2.08403967159457,83.1307639251469,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.292825150958121,0.167423130818823,0.164833720724345,0.232787415687687,0.160737437075432,2.22064493411036,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00639673768510321,0.176552096589589,0.174219444346629,0.154588596549957,0.171111139700467,2.08601716982467,83.2004215503274,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.75299961873053,0.160937173656284,0.160937130239471,4e-14,0.161673827174575,2.20778329802274,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,7.53300805276196e-05,0.165408930147653,0.165074579463134,0.0538137220721343,0.170501595925133,2.0934746881793,83.4614453999563,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.424153605034686,0.14477974080441,0.141380500162105,0.0348903515412323,0.161029346374659,2.21661941378664,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00378641686476573,0.185850525791083,0.184776072633336,0.0402229550927377,0.171224402289827,2.08463729813031,83.1518349406326,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.758237912719652,0.167152709479388,0.165132476340525,0.00474174538486637,0.161335765299692,2.21240947226055,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0405883086215768,0.166885837105229,0.165783305680629,0.110277842615093,0.171741392258125,2.07836195264427,82.929735659432,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.939953277959983,0.149684156030144,0.149176634411231,0.016381180654796,0.162013043314674,2.20316073360935,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.00200329552060001,0.189776667570565,0.186138144760661,0.146319588447465,0.170990167891037,2.08749298141458,83.2522863954947,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.275222115729548,0.168829450988215,0.166346560611524,0.0919262492382236,0.160751955980463,2.22044436838345,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.261686397777047,0.180810827334747,0.178635978951661,0.00923647314736503,0.171119948635397,2.085909785562,83.1966436860323,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.102588546050526,0.172798211719997,0.170371524747208,0.107592463949504,0.161552948336969,2.20943522874575,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0517544627888936,0.172795938311632,0.16883354298526,0.0744202403227326,0.170634037629211,2.09184978754987,83.4047962978438,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0,0.5,0.1,0.0294996725701409,0.839997801311701,0.165570000902567,0.161668513344245,0.0509458112446987,0.16090944720858,2.21827109318668,5.00000000000001,200,0.402899169921875
20,40,0,1,0.5,0.1,-0.1,0.2,0.5,0.5,0.1,0.0294996725701409,0.0333178633109038,0.166777195835693,0.165510147958872,0.139617609084698,0.170237897617313,2.09671747806607,83.5741247216341,200,0.402899169921875
